source,description,url,content
{'name': 'The Indian Express'},"As the price of the summer essential commodity soared high, netizens are having a field day with hilarious memes.",https://indianexpress.com/article/trending/trending-in-india/memes-take-over-twitter-amid-fuel-lemon-price-rise-7860293/,"With growing inflation, most people in the country are expressing their concerns and anger online. While some have gone on to rant and vent their frustration, urging the government to adopt measures … [+3311 chars]"
{'name': 'The Times of India'},"While the prices of vegetables and several other food items have gone through the roof, the rates of petrol and diesel have increased by about Rs 10 per litre each in the past one month. Besides, the prices of other petroleum products, including cooking gas, …",https://economictimes.indiatimes.com/news/economy/indicators/rising-prices-of-essentials-fuel-spare-no-one-strain-household-budgets-across-country/articleshow/90793620.cms,A sharp rise in prices of essential commodities over the past few months coupled with the latest burden of steep hike in fuel rates have made life difficult for almost every section of the society ac… [+5697 chars]
{'name': 'The Indian Express'},"CNG Price today: CNG in the National Capital Territory (NCT) of Delhi now costs Rs 69.11 per kg, up from Rs 66.61 per kg, according to the information posted on the website of Indraprastha Gas Ltd (IGL) - the firm which retails CNG and piped cooking gas in th…",https://indianexpress.com/article/business/commodities/cng-price-hiked-by-rs-2-50-per-kg-in-delhi-april-7-7857572/,"CNG prices in the national capital on Thursday were hiked for the second day in a row by Rs 2.50 per kilogram, taking the total increase since March to Rs 12.5 per kg.CNG in the National Capital Terr… [+1724 chars]"
{'name': 'Al Jazeera English'},"With gas prices surging amid Russia's invasion and inflation rising, US president unveils new plan for corn-based fuel.",https://www.aljazeera.com/news/2022/4/12/biden-boosts-ethanol-to-lower-us-fuel-prices-amid-war-in-ukraine,"Joe Biden has unveiled a new plan to widen the availability of petrol blended with corn-based ethanol, as the US president seeks to curb soaring fuel costs in the United States linked to the Russian … [+3908 chars]"
{'name': 'The Indian Express'},The Federation of Karnataka State Lorry Owners’ and Agents’ Association has also demanded from Chief Minister Basavaraj Bommai to do away with check-posts at the state’s borders and scuttle the sand mining policy.,https://indianexpress.com/article/cities/bangalore/karnataka-truck-owners-threaten-to-strike-over-fuel-price-other-demands-7865550/,Karnataka lorry and truck owners have given a month’s deadline to the state government to intervene and reduce the price of diesel and said they will strike if their demands are not met.Apart from th… [+1611 chars]
{'name': 'The Indian Express'},"Taxi and cab unions have been holding protests since April 8 demanding a reduction in fuel prices, and the autorickshaw union held a protest Monday demanding Rs 35 subsidy on CNG rates.",https://indianexpress.com/article/cities/delhi/delhi-driver-unions-to-hold-2-day-chakka-jam-7866647/,"Following a series of protests against the hike in fuel prices in Delhi-NCR, drivers associations and unions have decided to observe a chakka jam for two days from April 18.Taxi and cab unions have b… [+1937 chars]"
{'name': 'The Indian Express'},This has aggravated problems in a place already in the grip of agrarian distress,https://indianexpress.com/article/cities/mumbai/backward-forsaken-parbhani-now-pays-among-highest-for-fuel-in-india-7869524/,"Kishore Radhakrishan Dhage recalled how one day recently, as he was leaving home, his wife called out and urged him to ride his bike to their small soybean field 1.5 km away. I cannot afford petrol a… [+6547 chars]"
{'name': 'Moneycontrol'},This is the eighth such hike in CNG prices after five consecutive increases in March this year and the last hike on April 4. Check prices here,https://www.moneycontrol.com/news/india/cng-prices-hiked-in-delhi-ncr-check-new-rates-effective-from-april-7-8326891.html,"Indraprastha Gas (IGL) has hiked the prices of Compressed Natural Gas (CNG) in Delhi by Rs 2.5 per kg to Rs 69.11 per kg. The new price will come into effect from April 7.
This is the third consecut… [+2754 chars]"
{'name': 'YouTube'},"<ol><li>Gravitas: Petrol, Diesel prices soar in India  WION
</li><li>Petrol, Diesel Costlier By Nearly A Rupee, 14th Hike In 16 Days  NDTV
</li><li>Petrol, diesel prices hiked by 80 paise, total increase now Rs 10 a litre in 16 days  Economic Times
</li><l…",https://www.youtube.com/supported_browsers?next_url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DLJgaLMoM-ew,"Your browser isnt supported anymore. Update it to get the best YouTube experience and our latest features. Learn more
Remind me later"
{'name': 'CNN'},"Elon Musk, Tesla's CEO who just became the largest shareholder in Twitter, has been tweeting about possible changes to the company.",https://www.cnn.com/videos/business/2022/04/10/elon-musk-twitter-rs-vpx.cnn,
