,from_article,to_article,similarity_score
572,11,22,0.600436806678772
573,11,23,0.5522611141204834
574,11,24,0.5905817747116089
575,11,25,0.5178381204605103
576,11,26,0.510555624961853
577,11,27,0.6281962990760803
578,11,28,0.6368324160575867
579,11,29,0.6904894113540649
580,11,30,0.5819761753082275
581,11,31,0.5017786622047424
582,11,32,0.5587636828422546
583,11,33,0.7015073299407959
584,11,34,0.5601047277450562
585,11,35,0.6566176414489746
586,11,36,0.6272764205932617
587,11,37,0.6615984439849854
588,11,38,0.5429738163948059
589,11,39,0.6987529397010803
590,11,40,0.6281790733337402
591,11,41,0.6020910739898682
592,11,42,0.6575582027435303
593,11,43,0.5263322591781616
594,11,44,0.767848014831543
595,11,45,0.7554609775543213
596,11,46,0.6263161301612854
597,11,47,0.5341423749923706
598,11,48,0.6238426566123962
599,11,49,0.6740328073501587
600,12,0,0.7611554265022278
601,12,1,0.8015841841697693
602,12,2,0.6906731128692627
603,12,3,0.6425060033798218
604,12,4,0.6744300127029419
605,12,5,0.6162319183349609
606,12,6,0.6279442310333252
607,12,7,0.7441293001174927
608,12,8,0.6348796486854553
609,12,9,0.726769208908081
610,12,10,0.7685586214065552
611,12,11,0.6073119044303894
612,12,12,0.9999997615814208
613,12,13,0.700913667678833
614,12,14,0.7044539451599121
615,12,15,0.5833346247673035
616,12,16,0.7239664793014526
617,12,17,0.4640051424503326
618,12,18,0.6584821343421936
619,12,19,0.6588510870933533
620,12,20,0.6711605191230774
621,12,21,0.6874107122421265
622,12,22,0.7059191465377808
623,12,23,0.5807018876075745
624,12,24,0.7549260854721069
625,12,25,0.5885667204856873
626,12,26,0.7091792821884155
627,12,27,0.6986928582191467
628,12,28,0.6990020275115967
629,12,29,0.6330945491790771
630,12,30,0.7132483720779419
631,12,31,0.6163051128387451
632,12,32,0.6294811964035034
633,12,33,0.7884385585784912
634,12,34,0.6783164739608765
635,12,35,0.7104318141937256
636,12,36,0.7987008094787598
637,12,37,0.789730966091156
638,12,38,0.6873488426208496
639,12,39,0.7371077537536621
640,12,40,0.737951934337616
641,12,41,0.6036044359207153
642,12,42,0.6006350517272949
643,12,43,0.6514091491699219
644,12,44,0.7844893336296082
645,12,45,0.6227620840072632
646,12,46,0.7194528579711914
647,12,47,0.4262885451316833
648,12,48,0.7281031608581543
649,12,49,0.7277164459228516
650,13,0,0.7171460390090942
651,13,1,0.8266419172286987
652,13,2,0.6659066081047058
653,13,3,0.6525583267211914
654,13,4,0.727368175983429
655,13,5,0.5799463987350464
656,13,6,0.5906867980957031
657,13,7,0.7725359201431274
658,13,8,0.6172845959663391
659,13,9,0.7153832316398621
660,13,10,0.7835777401924133
661,13,11,0.6328964829444885
662,13,12,0.700913667678833
663,13,13,1.0000001192092896
664,13,14,0.7273790240287781
665,13,15,0.561741828918457
666,13,16,0.8510767221450806
667,13,17,0.3501551747322082
668,13,18,0.7096209526062012
669,13,19,0.6650714874267578
670,13,20,0.651227593421936
671,13,21,0.737402081489563
672,13,22,0.6737716794013977
673,13,23,0.5847710371017456
674,13,24,0.7716905474662781
675,13,25,0.6657199859619141
676,13,26,0.6510137319564819
677,13,27,0.6996702551841736
678,13,28,0.7635507583618164
679,13,29,0.7860333323478699
680,13,30,0.7502296566963196
681,13,31,0.672160267829895
682,13,32,0.6883320808410645
683,13,33,0.7506586313247681
684,13,34,0.65960693359375
685,13,35,0.7168270945549011
686,13,36,0.7518054842948914
687,13,37,0.854238748550415
688,13,38,0.5952216982841492
689,13,39,0.7520003914833069
690,13,40,0.678240180015564
691,13,41,0.6511408090591431
692,13,42,0.5699841380119324
693,13,43,0.6530880928039551
694,13,44,0.7515755295753479
695,13,45,0.792142391204834
696,13,46,0.676039457321167
697,13,47,0.5846399068832397
698,13,48,0.7936265468597412
699,13,49,0.8926140069961548
700,14,0,0.6524953246116638
701,14,1,0.7140858173370361
702,14,2,0.7564636468887329
703,14,3,0.7499880194664001
704,14,4,0.729739248752594
705,14,5,0.5581414699554443
706,14,6,0.6716094017028809
707,14,7,0.759502649307251
708,14,8,0.6987140774726868
709,14,9,0.8179453015327454
710,14,10,0.8210856318473816
711,14,11,0.6592419743537903
712,14,12,0.7044539451599121
713,14,13,0.7273790240287781
714,14,14,1.0000001192092896
715,14,15,0.6782760620117188
716,14,16,0.8247238993644714
717,14,17,0.4816823303699493
718,14,18,0.7389582395553589
719,14,19,0.5624403357505798
720,14,20,0.5828899145126343
721,14,21,0.8037236928939819
722,14,22,0.7784121036529541
723,14,23,0.6621154546737671
724,14,24,0.8318592309951782
725,14,25,0.6099069714546204
726,14,26,0.7358295321464539
727,14,27,0.7356589436531067
728,14,28,0.7369794845581055
729,14,29,0.7489384412765503
730,14,30,0.7762042880058289
731,14,31,0.6619960069656372
732,14,32,0.7696113586425781
733,14,33,0.8042232990264893
734,14,34,0.6391484141349792
735,14,35,0.7853715419769287
736,14,36,0.721470832824707
737,14,37,0.743504524230957
738,14,38,0.683119535446167
739,14,39,0.754785418510437
740,14,40,0.870979905128479
741,14,41,0.8824350833892822
742,14,42,0.7805415987968445
743,14,43,0.7551273107528687
744,14,44,0.7463837265968323
745,14,45,0.7709848880767822
746,14,46,0.7730842232704163
747,14,47,0.5171138644218445
748,14,48,0.7474547028541565
749,14,49,0.7604150772094727
750,15,0,0.6180611848831177
751,15,1,0.6465793251991272
752,15,2,0.7187445759773254
753,15,3,0.6463265419006348
754,15,4,0.589167594909668
755,15,5,0.4474340677261352
756,15,6,0.8705348968505859
757,15,7,0.6651561260223389
758,15,8,0.888778805732727
759,15,9,0.6510365605354309
760,15,10,0.6305884122848511
761,15,11,0.4773402810096741
762,15,12,0.5833346247673035
763,15,13,0.561741828918457
764,15,14,0.6782760620117188
765,15,15,1.000000238418579
766,15,16,0.6582245826721191
767,15,17,0.4065769016742706
768,15,18,0.6899795532226562
769,15,19,0.5839489698410034
770,15,20,0.5602144002914429
771,15,21,0.7309820652008057
772,15,22,0.6750485897064209
773,15,23,0.5672883987426758
774,15,24,0.7486129999160767
775,15,25,0.5700088739395142
776,15,26,0.6860538721084595
777,15,27,0.7543205618858337
778,15,28,0.6950802803039551
779,15,29,0.5998411774635315
780,15,30,0.7999366521835327
781,15,31,0.7009255290031433
782,15,32,0.6694706082344055
783,15,33,0.73508220911026
784,15,34,0.5691240429878235
785,15,35,0.6398581862449646
786,15,36,0.575567364692688
787,15,37,0.6350859999656677
788,15,38,0.5506824851036072
789,15,39,0.5907797813415527
790,15,40,0.6863898038864136
791,15,41,0.6748006939888
792,15,42,0.5893340110778809
793,15,43,0.6971389055252075
794,15,44,0.5881105065345764
795,15,45,0.6390857100486755
796,15,46,0.5793800354003906
797,15,47,0.4237494468688965
798,15,48,0.6697050333023071
799,15,49,0.6005932092666626
800,16,0,0.7345772385597229
801,16,1,0.7766854763031006
802,16,2,0.7642286419868469
803,16,3,0.6790275573730469
804,16,4,0.7515089511871338
805,16,5,0.5621103644371033
806,16,6,0.6453317999839783
807,16,7,0.774621844291687
808,16,8,0.7245956659317017
809,16,9,0.793398380279541
810,16,10,0.8148020505905151
811,16,11,0.6319988369941711
812,16,12,0.7239664793014526
813,16,13,0.8510767221450806
814,16,14,0.8247238993644714
815,16,15,0.6582245826721191
816,16,16,1.0
817,16,17,0.4178908169269562
818,16,18,0.805608868598938
819,16,19,0.6250828504562378
820,16,20,0.6300206184387207
821,16,21,0.7924965023994446
822,16,22,0.8308079838752747
823,16,23,0.7000083327293396
824,16,24,0.8942354917526245
825,16,25,0.6660146713256836
826,16,26,0.6958997249603271
827,16,27,0.8161300420761108
828,16,28,0.7471150755882263
829,16,29,0.8151893615722656
830,16,30,0.7945022583007812
831,16,31,0.7200404405593872
